交易号,订单状态,平台渠道,店铺账号,订单金额（USD）,买家支付,退款金额,平台佣金,预估利润,成本利润率,销售利润率,预估运费,联盟佣金（USD）
,已发货,速卖通,速卖通-1号,1.73,1.4,,USD 0.09,1.98,0.2012,0.1588,6.81,—
,已发货,速卖通,速卖通-1号,33.19,7.42,,USD 1.66,92.26,0.7025,0.3898,32.69,USD 0.16
,已发货,速卖通,速卖通-2号,7.77,4.85,,USD 0.39,21.24,0.6662,0.3798,21.1,—
,已发货,速卖通,速卖通-3号,4.67,2.73,,USD 0.23,-8.55,-0.2135,-0.254,11.84,USD 0.07
,已发货,速卖通,速卖通-4号,1.68,1.15,,USD 0.09,0.47,0.0436,0.0388,5.09,USD 0.03
,已发货,速卖通,速卖通-4号,6.06,4.04,,USD 0.3,10.13,0.335,0.2342,21.56,USD 0.1
,已发货,速卖通,速卖通-1号,12.99,3.87,,USD 0.65,6.72,0.0848,0.0725,26.85,USD 0.27
,已发货,速卖通,速卖通-1号,35.67,8.23,,USD 1.78,-8.46,-0.0343,-0.0329,37.49,USD 0.82
,已发货,速卖通,速卖通-3号,13.56,4.67,,USD 0.68,2.11,0.0235,-0.0218,51.36,—
,已发货,速卖通,速卖通-1号,26.74,11.2,,USD 1.34,26.09,0.1709,0.1355,32.97,USD 0.57
,已发货,速卖通,速卖通-2号,43.3,12.8,,USD 2.66,10.44,0.0436,0.2672,8.11,USD 0.99
,已发货,速卖通,速卖通-4号,3.39,2.02,,USD 0.17,5.69,0.3491,0.2329,7.89,USD 0.17
,已发货,速卖通,速卖通-4号,3.57,1.88,,USD 0.18,10.44,0.7867,0.4058,2.1,USD 0.1
,已发货,速卖通,速卖通-1号,3.18,1.36,,USD 0.16,8.84,0.7324,0.3857,6.74,USD 0.12
,已发货,速卖通,速卖通-3号,3.54,1.84,,USD 0.18,6.82,0.392,0.2672,8.11,—
