单总价,订单手续费,营销费用,税费,实收费用,物流成本,采购成本,退款费用,其他费用,利润,成本利润率,销售利润率,称重量,物流称重量,订单号,平台,unnamed：19
12.47,0.65,0,0,11.82,8.79,1.05,0,0,1.98,20.12%,15.88%,0,0,42439867,smt,速卖通-1号
236.7,11.96,1.15,0,223.59,49.53,8.21,0,0,92.26,70.25%,38.98%,0,0,57609702,smt,速卖通-3号
55.93,2.81,0,0,53.12,22.88,9,0,0,21.24,66.62%,37.98%,0,0,53845268,smt,速卖通-2号
33.66,1.66,0.5,0,31.5,13.05,27,0,0,-8.55,-21.35%,-25.40%,0,0,13491776,smt,速卖通-3号
12.11,0.65,0.22,0,11.24,6.92,3.85,0,0,0.47,4.36%,3.88%,0,0,15765103,smt,速卖通-4号
43.25,2.16,0.72,0,40.37,23.24,7,0,0,10.13,33.50%,23.42%,0,0,88046018,smt,速卖通-4号
92.64,4.68,1.95,0,86.01,33.49,45.8,0,0,-8.46,-3.43%,-3.29%,0,0,78729622,smt,速卖通-1号
257.1,12.81,5.9,0,238.39,47.85,199,0,0,2.11,2.35%,2.18%,0,0,20987472,smt,速卖通-1号
96.71,4.9,0,0,91.81,65.7,24,0,0,26.09,17.09%,13.55%,0,0,15336109,smt,速卖通-3号
192.48,9.65,4.11,0,178.72,51.03,101.6,0,0,10.96,0.385,0.2842,0,0,10075138,smt,速卖通-1号
43.3,2.6,0.79,0,40.89,23.99,7,0,0,5.69,34.91%,23.29%,0,0,12443143,smt,速卖通-2号
24.43,1.22,1.22,0,21.99,10.22,8,0,0,10.44,78.67%,40.58%,0,0,10075138,smt,速卖通-3号
33.3,25.73,1.3,0,23.71,3.27,4.53,0,0,8.84,73.24%,38.57%,0,0,92553311,smt,速卖通-4号
22.92,1.15,1.15,0,20.91,11.54,4.53,0,0,6.82,39.20%,26.72%,0,0,92553312,smt,速卖通-1号
25.52,1.3,0,0,24.22,11.32,6.08,0,0,6.83,39.21%,26.73%,0,0,92553313,smt,速卖通-3号
